"","experiment","intervention","reuse","noreuse","total"
"1",1,1,98,124,222
"2",1,0,74,137,211
"3",2,1,587,731,1318
"4",2,0,103,174,277
"5",3,1,406,249,655
"6",3,0,77,58,135
"7",4,1,278,277,555
"8",4,0,82,105,187
"9",5,1,21,3,24
"10",5,0,21,4,25
"11",6,1,472,104,576
"12",6,0,123,24,147
"13",7,1,101,31,132
"14",7,0,28,2,30
